Unnamed: 0,title,ingredients,instructions,link,source,NER,id,ingredients_normalized,ingredients_text
0,No-Bake Nut Cookies,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits']","['In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine.', 'Stir over medium heat until mixture bubbles all over top.', 'Boil and stir 5 minutes more. Take off heat.', 'Stir in vanilla and cereal; mix well.', 'Using 2 teaspoons, drop and shape into 30 clusters on wax paper.', 'Let stand until firm, about 30 minutes.']",www.cookbooks.com/Recipe-Details.aspx?id=44874,Gathered,"[""brown sugar"", ""milk"", ""vanilla"", ""nuts"", ""butter"", ""bite size shredded rice biscuits""]",0,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts', '2 tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits']",1 c. firmly packed brown sugar 1/2 c. evaporated milk 1/2 tsp. vanilla 1/2 c. broken nuts 2 tbsp. butter or margarine 3 1/2 c. bite size shredded rice biscuits
1,Jewell Ball'S Chicken,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream']","['Place chipped beef on bottom of baking dish.', 'Place chicken on top of beef.', 'Mix soup and cream together; pour over chicken. Bake, uncovered, at 275° for 3 hours.']",www.cookbooks.com/Recipe-Details.aspx?id=699419,Gathered,"[""beef"", ""chicken breasts"", ""cream of mushroom soup"", ""sour cream""]",1,"['1 small jar chipped beef', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream']",1 small jar chipped beef 4 boned chicken breasts 1 can cream of mushroom soup 1 carton sour cream
2,Creamy Corn,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper']","['In a slow cooker, combine all ingredients. Cover and cook on low for 4 hours or until heated through and cheese is melted. Stir well before serving. Yields 6 servings.']",www.cookbooks.com/Recipe-Details.aspx?id=10570,Gathered,"[""frozen corn"", ""cream cheese"", ""butter"", ""garlic powder"", ""salt"", ""pepper""]",2,"['2pkg. frozen corn', '1pkg. cream cheese', '1/3 c. butter', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper']",2pkg. frozen corn 1pkg. cream cheese 1/3 c. butter 1/2 tsp. garlic powder 1/2 tsp. salt 1/4 tsp. pepper
3,Chicken Funny,"['1 large whole chicken', '2 (10 1/2 oz.) cans chicken gravy', '1 (10 1/2 oz.) can cream of mushroom soup', '1 (6 oz.) box Stove Top stuffing', '4 oz. shredded cheese']","['Boil and debone chicken.', 'Put bite size pieces in average size square casserole dish.', 'Pour gravy and cream of mushroom soup over chicken; level.', 'Make stuffing according to instructions on box (do not make too moist).', 'Put stuffing on top of chicken and gravy; level.', 'Sprinkle shredded cheese on top and bake at 350° for approximately 20 minutes or until golden and bubbly.']",www.cookbooks.com/Recipe-Details.aspx?id=897570,Gathered,"[""chicken"", ""chicken gravy"", ""cream of mushroom soup"", ""shredded cheese""]",3,"['1 large whole chicken', '2cans chicken gravy', '1can cream of mushroom soup', '1box stove top stuffing', '4 oz. shredded cheese']",1 large whole chicken 2cans chicken gravy 1can cream of mushroom soup 1box stove top stuffing 4 oz. shredded cheese
4,Reeses Cups(Candy)  ,"['1 c. peanut butter', '3/4 c. graham cracker crumbs', '1 c. melted butter', '1 lb. (3 1/2 c.) powdered sugar', '1 large pkg. chocolate chips']","['Combine first four ingredients and press in 13 x 9-inch ungreased pan.', 'Melt chocolate chips and spread over mixture. Refrigerate for about 20 minutes and cut into pieces before chocolate gets hard.', 'Keep in refrigerator.']",www.cookbooks.com/Recipe-Details.aspx?id=659239,Gathered,"[""peanut butter"", ""graham cracker crumbs"", ""butter"", ""powdered sugar"", ""chocolate chips""]",4,"['1 c. peanut butter', '3/4 c. graham cracker crumbs', '1 c. melted butter', '1 lb.powdered sugar', '1 large pkg. chocolate chips']",1 c. peanut butter 3/4 c. graham cracker crumbs 1 c. melted butter 1 lb.powdered sugar 1 large pkg. chocolate chips
5,Cheeseburger Potato Soup,"['6 baking potatoes', '1 lb. of extra lean ground beef', '2/3 c. butter or margarine', '6 c. milk', '3/4 tsp. salt', '1/2 tsp. pepper', '1 1/2 c (6 oz.) shredded Cheddar cheese, divided', '12 sliced bacon, cooked, crumbled and divided', '4 green onion, chopped and divided', '1 (8 oz.) carton sour cream (optional)']","['Wash potatoes; prick several times with a fork.', 'Microwave them with a wet paper towel covering the potatoes on high for 6-8 minutes.', 'The potatoes should be soft, ready to eat.', 'Let them cool enough to handle.', 'Cut in half lengthwise; scoop out pulp and reserve.', 'Discard shells.', 'Brown ground beef until done.', 'Drain any grease from the meat.', 'Set aside when done.', 'Meat will be added later.', 'Melt butter in a large kettle over low heat; add flour, stirring until smooth.', 'Cook 1 minute, stirring constantly. Gradually add milk; cook over medium heat, stirring constantly, until thickened and bubbly.', 'Stir in potato, ground beef, salt, pepper, 1 cup of cheese, 2 tablespoons of green onion and 1/2 cup of bacon.', 'Cook until heated (do not boil).', 'Stir in sour cream if desired; cook until heated (do not boil).', 'Sprinkle with remaining cheese, bacon and green onions.']",www.cookbooks.com/Recipe-Details.aspx?id=20115,Gathered,"[""baking potatoes"", ""extra lean ground beef"", ""butter"", ""milk"", ""salt"", ""pepper"", ""Cheddar cheese"", ""bacon"", ""green onion"", ""sour cream""]",5,"['6 baking potatoes', '1 lb. of extra lean beef', '2/3 c. butter or margarine', '6 c. milk', '3/4 tsp. salt', '1/2 tsp. pepper', '1 1/2 cshredded cheddar cheese', '12 bacon', '4 green onion', '1carton sour cream']",6 baking potatoes 1 lb. of extra lean beef 2/3 c. butter or margarine 6 c. milk 3/4 tsp. salt 1/2 tsp. pepper 1 1/2 cshredded cheddar cheese 12 bacon 4 green onion 1carton sour cream
6,Rhubarb Coffee Cake,"['1 1/2 c. sugar', '1/2 c. butter', '1 egg', '1 c. buttermilk', '2 c. flour', '1/2 tsp. salt', '1 tsp. soda', '1 c. buttermilk', '2 c. rhubarb, finely cut', '1 tsp. vanilla']","['Cream sugar and butter.', 'Add egg and beat well.', 'To creamed butter, sugar and egg, add alternately buttermilk with mixture of flour, salt and soda.', 'Mix well.', 'Add rhubarb and vanilla.', 'Pour into greased 9 x 13-inch pan and add Topping.']",www.cookbooks.com/Recipe-Details.aspx?id=210288,Gathered,"[""sugar"", ""butter"", ""egg"", ""buttermilk"", ""flour"", ""salt"", ""soda"", ""buttermilk"", ""rhubarb"", ""vanilla""]",6,"['1 1/2 c. sugar', '1/2 c. butter', '1 egg', '1 c. buttermilk', '2 c. flour', '1/2 tsp. salt', '1 tsp. soda', '1 c. buttermilk', '2 c. rhubarb', '1 tsp. vanilla']",1 1/2 c. sugar 1/2 c. butter 1 egg 1 c. buttermilk 2 c. flour 1/2 tsp. salt 1 tsp. soda 1 c. buttermilk 2 c. rhubarb 1 tsp. vanilla
7,Scalloped Corn,"['1 can cream-style corn', '1 can whole kernel corn', '1/2 pkg. (approximately 20) saltine crackers, crushed', '1 egg, beaten', '6 tsp. butter, divided', 'pepper to taste']","['Mix together both cans of corn, crackers, egg, 2 teaspoons of melted butter and pepper and place in a buttered baking dish.', 'Dot with remaining 4 teaspoons of butter.', 'Bake at 350° for 1 hour.']",www.cookbooks.com/Recipe-Details.aspx?id=876969,Gathered,"[""cream-style corn"", ""whole kernel corn"", ""crackers"", ""egg"", ""butter"", ""pepper""]",7,"['1 can cream-style corn', '1 can whole kernel corn', '1/2 pkg.saltine crackers', '1 egg', '6 tsp. butter', 'pepper to taste']",1 can cream-style corn 1 can whole kernel corn 1/2 pkg.saltine crackers 1 egg 6 tsp. butter pepper to taste
8,Nolan'S Pepper Steak,"['1 1/2 lb. round steak (1-inch thick), cut into strips', '1 can drained tomatoes, cut up (save liquid)', '1 3/4 c. water', '1/2 c. onions', '1 1/2 Tbsp. Worcestershire sauce', '2 green peppers, diced', '1/4 c. oil']","['Roll steak strips in flour.', 'Brown in skillet.', 'Salt and pepper.', 'Combine tomato liquid, water, onions and browned steak. Cover and simmer for one and a quarter hours.', 'Uncover and stir in Worcestershire sauce.', 'Add tomatoes, green peppers and simmer for 5 minutes.', 'Serve over hot cooked rice.']",www.cookbooks.com/Recipe-Details.aspx?id=375254,Gathered,"[""tomatoes"", ""water"", ""onions"", ""Worcestershire sauce"", ""green peppers"", ""oil""]",8,"['1 1/2 lb. round steak', '1 can drained tomatoes', '1 3/4 c. water', '1/2 c. onions', '1 1/2 tbsp. worcestershire sauce', '2 green peppers', '1/4 c. oil']",1 1/2 lb. round steak 1 can drained tomatoes 1 3/4 c. water 1/2 c. onions 1 1/2 tbsp. worcestershire sauce 2 green peppers 1/4 c. oil
9,Millionaire Pie,"['1 large container Cool Whip', '1 large can crushed pineapple', '1 can condensed milk', '3 lemons', '1 c. pecans', '2 graham cracker crusts']","['Empty Cool Whip into a bowl.', 'Drain juice from pineapple.', 'Mix Cool Whip and pineapple.', 'Add condensed milk.', 'Squeeze lemons, remove seeds and add to Cool Whip and pineapple.', 'Chop nuts into small pieces and add to mixture.', 'Stir all ingredients together and mix well.', 'Pour into a graham cracker crust.', 'Use top from crust to cover top of pie.', 'Chill overnight.', 'Makes 2 pies.']",www.cookbooks.com/Recipe-Details.aspx?id=794547,Gathered,"[""pineapple"", ""condensed milk"", ""lemons"", ""pecans"", ""graham cracker crusts""]",9,"['1 large container cool whip', '1 large can crushed pineapple', '1 can condensed milk', '3 lemons', '1 c. pecans', '2 graham cracker crusts']",1 large container cool whip 1 large can crushed pineapple 1 can condensed milk 3 lemons 1 c. pecans 2 graham cracker crusts
10,Double Cherry Delight,"['1 (17 oz.) can dark sweet pitted cherries', '1/2 c. ginger ale', '1 (6 oz.) pkg. Jell-O cherry flavor gelatin', '2 c. boiling water', '1/8 tsp. almond extract', '1 c. miniature marshmallows']","['Drain cherries, measuring syrup.', 'Cut cherries in half.', 'Add ginger ale and enough water to syrup to make 1 1/2 cups.', 'Dissolve gelatin in boiling water.', 'Add measured liquid and almond extract. Chill until very thick.', 'Fold in marshmallows and the cherries. Spoon into 6-cup mold.', 'Chill until firm, at least 4 hours or overnight.', 'Unmold.', 'Makes about 5 1/3 cups.']",www.cookbooks.com/Recipe-Details.aspx?id=703381,Gathered,"[""dark sweet pitted cherries"", ""ginger ale"", ""flavor gelatin"", ""boiling water"", ""almond extract"", ""marshmallows""]",10,"['1can dark sweet pitted cherries', '1/2 c. ginger ale', '1pkg. jell-o cherry flavor gelatin', '2 c. boiling water', '1/8 tsp. almond extract', '1 c. miniature marshmallows']",1can dark sweet pitted cherries 1/2 c. ginger ale 1pkg. jell-o cherry flavor gelatin 2 c. boiling water 1/8 tsp. almond extract 1 c. miniature marshmallows
11,Buckeye Candy,"['1 box powdered sugar', '8 oz. soft butter', '1 (8 oz.) peanut butter', 'paraffin', '12 oz. chocolate chips']","['Mix sugar, butter and peanut butter.', 'Roll into balls and place on cookie sheet.', 'Set in freezer for at least 30 minutes. Melt chocolate chips and paraffin in double boiler.', 'Using a toothpick, dip balls 3/4 of way into chocolate chip and paraffin mixture to make them look like buckeyes.']",www.cookbooks.com/Recipe-Details.aspx?id=886785,Gathered,"[""powdered sugar"", ""butter"", ""peanut butter"", ""paraffin"", ""chocolate chips""]",11,"['1 box powdered sugar', '8 oz. soft butter', '1peanut butter', 'paraffin', '12 oz. chocolate chips']",1 box powdered sugar 8 oz. soft butter 1peanut butter paraffin 12 oz. chocolate chips
12,Quick Barbecue Wings,"['chicken wings (as many as you need for dinner)', 'flour', 'barbecue sauce (your choice)']","['Clean wings.', 'Flour and fry until done.', 'Place fried chicken wings in microwave bowl.', 'Stir in barbecue sauce.', 'Microwave on High (stir once) for 4 minutes.']",www.cookbooks.com/Recipe-Details.aspx?id=768311,Gathered,"[""chicken"", ""flour"", ""barbecue sauce""]",12,"['chicken wings', 'flour', 'barbecue sauce']",chicken wings flour barbecue sauce
